turn,time_elapsed,event_type,clan,province,units,provinces,damage,units_lost
10,0.2,TURN_SNAPSHOT,Tada,,0,1,0,0
10,0.2,TURN_SNAPSHOT,Date,,600,1,0,0
10,0.2,TURN_SNAPSHOT,Nori,,0,1,0,0
10,0.2,TURN_SNAPSHOT,Abe,,6919,2,0,0
11,2.0,TURN_SNAPSHOT,Tada,,0,1,0,0
11,2.0,TURN_SNAPSHOT,Date,,600,1,0,0
11,2.0,TURN_SNAPSHOT,Nori,,0,1,0,0
11,2.0,TURN_SNAPSHOT,Abe,,8531,2,0,0
12,0.2,RECRUIT,Date,Mutsu,140,1,0,0
12,0.2,RECRUIT,Date,Mutsu,140,1,0,0
12,0.2,RECRUIT,Date,Mutsu,140,1,0,0
12,0.2,TURN_SNAPSHOT,Tada,,0,1,0,0
12,0.2,TURN_SNAPSHOT,Date,,17400,1,0,0
12,0.2,TURN_SNAPSHOT,Nori,,0,1,0,0
12,0.2,TURN_SNAPSHOT,Abe,,10143,2,0,0
13,4.1,TURN_SNAPSHOT,Tada,,0,1,0,0
13,4.1,TURN_SNAPSHOT,Date,,17400,1,0,0
13,4.1,TURN_SNAPSHOT,Nori,,0,1,0,0
13,4.1,TURN_SNAPSHOT,Abe,,11755,2,0,0
14,1.1,TURN_SNAPSHOT,Tada,,0,1,0,0
14,1.1,TURN_SNAPSHOT,Date,,17400,1,0,0
14,1.1,TURN_SNAPSHOT,Nori,,0,1,0,0
14,1.1,TURN_SNAPSHOT,Abe,,13367,2,0,0
15,2.5,TURN_SNAPSHOT,Tada,,7297,2,0,0
15,2.5,TURN_SNAPSHOT,Date,,17400,1,0,0
15,2.5,TURN_SNAPSHOT,Nori,,0,0,0,0
15,2.5,TURN_SNAPSHOT,Abe,,14979,2,0,0
16,1.2,TURN_SNAPSHOT,Tada,,20608,3,0,0
16,1.2,TURN_SNAPSHOT,Date,,17400,1,0,0
16,1.2,TURN_SNAPSHOT,Nori,,0,0,0,0
16,1.2,TURN_SNAPSHOT,Abe,,16591,2,0,0
17,0.9,TURN_SNAPSHOT,Tada,,33918,4,0,0
17,0.9,TURN_SNAPSHOT,Date,,17400,1,0,0
17,0.9,TURN_SNAPSHOT,Nori,,0,0,0,0
17,0.9,TURN_SNAPSHOT,Abe,,24279,3,0,0
18,1.0,TURN_SNAPSHOT,Tada,,50193,4,0,0
18,1.0,TURN_SNAPSHOT,Date,,17400,2,0,0
18,1.0,TURN_SNAPSHOT,Nori,,0,0,0,0
18,1.0,TURN_SNAPSHOT,Abe,,32091,3,0,0
19,4.6,TURN_SNAPSHOT,Tada,,66468,4,0,0
19,4.6,TURN_SNAPSHOT,Date,,17400,2,0,0
19,4.6,TURN_SNAPSHOT,Nori,,0,0,0,0
19,4.6,TURN_SNAPSHOT,Abe,,39903,3,0,0
20,0.3,RECRUIT,Date,Mutsu,160,2,0,0
20,0.3,TURN_SNAPSHOT,Tada,,82743,4,0,0
20,0.3,TURN_SNAPSHOT,Date,,25400,2,0,0
20,0.3,TURN_SNAPSHOT,Nori,,0,0,0,0
20,0.3,TURN_SNAPSHOT,Abe,,47715,3,0,0
21,3.0,TURN_SNAPSHOT,Tada,,99018,4,0,0
21,3.0,TURN_SNAPSHOT,Date,,25400,2,0,0
21,3.0,TURN_SNAPSHOT,Nori,,0,0,0,0
21,3.0,TURN_SNAPSHOT,Abe,,55527,3,0,0
22,1.0,TURN_SNAPSHOT,Tada,,115293,4,0,0
22,1.0,TURN_SNAPSHOT,Date,,25400,2,0,0
22,1.0,TURN_SNAPSHOT,Nori,,0,0,0,0
22,1.0,TURN_SNAPSHOT,Abe,,63339,3,0,0
23,1.0,TURN_SNAPSHOT,Tada,,131568,4,0,0
23,1.0,TURN_SNAPSHOT,Date,,25400,2,0,0
23,1.0,TURN_SNAPSHOT,Nori,,0,0,0,0
23,1.0,TURN_SNAPSHOT,Abe,,71151,3,0,0
24,1.0,TURN_SNAPSHOT,Tada,,147843,4,0,0
24,1.0,TURN_SNAPSHOT,Date,,25400,2,0,0
24,1.0,TURN_SNAPSHOT,Nori,,0,0,0,0
24,1.0,TURN_SNAPSHOT,Abe,,78963,3,0,0
25,1.0,TURN_SNAPSHOT,Tada,,164118,4,0,0
25,1.0,TURN_SNAPSHOT,Date,,25400,3,0,0
25,1.0,TURN_SNAPSHOT,Nori,,0,0,0,0
25,1.0,TURN_SNAPSHOT,Abe,,86775,3,0,0
26,3.0,TURN_SNAPSHOT,Tada,,180393,4,0,0
26,3.0,TURN_SNAPSHOT,Date,,25400,3,0,0
26,3.0,TURN_SNAPSHOT,Nori,,0,0,0,0
26,3.0,TURN_SNAPSHOT,Abe,,94587,3,0,0
27,0.2,TURN_SNAPSHOT,Tada,,196668,4,0,0
27,0.2,TURN_SNAPSHOT,Date,,25400,3,0,0
27,0.2,TURN_SNAPSHOT,Nori,,0,0,0,0
27,0.2,TURN_SNAPSHOT,Abe,,94587,3,0,0
28,1.0,TURN_SNAPSHOT,Tada,,212943,4,0,0
28,1.0,TURN_SNAPSHOT,Date,,25400,3,0,0
28,1.0,TURN_SNAPSHOT,Nori,,0,0,0,0
28,1.0,TURN_SNAPSHOT,Abe,,94587,3,0,0
29,2.2,TURN_SNAPSHOT,Tada,,229218,4,0,0
29,2.2,TURN_SNAPSHOT,Date,,25400,3,0,0
29,2.2,TURN_SNAPSHOT,Nori,,0,0,0,0
29,2.2,TURN_SNAPSHOT,Abe,,94587,3,0,0
30,1.7,TURN_SNAPSHOT,Tada,,245493,4,0,0
30,1.7,TURN_SNAPSHOT,Date,,25400,3,0,0
30,1.7,TURN_SNAPSHOT,Nori,,0,0,0,0
30,1.7,TURN_SNAPSHOT,Abe,,94587,3,0,0
31,0.3,TURN_SNAPSHOT,Tada,,269906,4,0,0
31,0.3,TURN_SNAPSHOT,Date,,25400,3,0,0
31,0.3,TURN_SNAPSHOT,Nori,,0,0,0,0
31,0.3,TURN_SNAPSHOT,Abe,,94587,3,0,0
32,0.8,TURN_SNAPSHOT,Tada,,302456,4,0,0
32,0.8,TURN_SNAPSHOT,Date,,25400,3,0,0
32,0.8,TURN_SNAPSHOT,Nori,,0,0,0,0
32,0.8,TURN_SNAPSHOT,Abe,,94587,3,0,0
33,2.6,TURN_SNAPSHOT,Tada,,335006,4,0,0
33,2.6,TURN_SNAPSHOT,Date,,25400,3,0,0
33,2.6,TURN_SNAPSHOT,Nori,,0,0,0,0
33,2.6,TURN_SNAPSHOT,Abe,,94587,3,0,0
34,0.2,RECRUIT,Date,Dewa,110,3,0,0
34,0.2,RECRUIT,Date,Dewa,110,3,0,0
34,0.2,RECRUIT,Date,Dewa,110,3,0,0
34,0.2,RECRUIT,Date,Sendai,110,3,0,0
34,0.2,RECRUIT,Date,Sendai,110,3,0,0
34,0.2,RECRUIT,Date,Sendai,110,3,0,0
34,0.2,TURN_SNAPSHOT,Tada,,367556,4,0,0
34,0.2,TURN_SNAPSHOT,Date,,45200,3,0,0
34,0.2,TURN_SNAPSHOT,Nori,,0,0,0,0
34,0.2,TURN_SNAPSHOT,Abe,,94587,3,0,0
35,2.2,TURN_SNAPSHOT,Tada,,400106,4,0,0
35,2.2,TURN_SNAPSHOT,Date,,45200,3,0,0
35,2.2,TURN_SNAPSHOT,Nori,,0,0,0,0
35,2.2,TURN_SNAPSHOT,Abe,,94587,3,0,0
36,0.1,TURN_SNAPSHOT,Tada,,432656,4,0,0
36,0.1,TURN_SNAPSHOT,Date,,45200,3,0,0
36,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
36,0.1,TURN_SNAPSHOT,Abe,,94587,3,0,0
37,0.1,TURN_SNAPSHOT,Tada,,465206,4,0,0
37,0.1,TURN_SNAPSHOT,Date,,45200,3,0,0
37,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
37,0.1,TURN_SNAPSHOT,Abe,,94587,3,0,0
38,2.8,TURN_SNAPSHOT,Tada,,497756,4,0,0
38,2.8,TURN_SNAPSHOT,Date,,45200,3,0,0
38,2.8,TURN_SNAPSHOT,Nori,,0,0,0,0
38,2.8,TURN_SNAPSHOT,Abe,,94587,3,0,0
39,0.1,RECRUIT,Date,Dewa,140,3,0,0
39,0.1,RECRUIT,Date,Dewa,140,3,0,0
39,0.1,RECRUIT,Date,Dewa,140,3,0,0
39,0.1,RECRUIT,Date,Sendai,140,3,0,0
39,0.1,RECRUIT,Date,Sendai,140,3,0,0
39,0.1,RECRUIT,Date,Sendai,140,3,0,0
39,0.1,TURN_SNAPSHOT,Tada,,530306,4,0,0
39,0.1,TURN_SNAPSHOT,Date,,78800,3,0,0
39,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
39,0.1,TURN_SNAPSHOT,Abe,,94587,3,0,0
40,2.9,TURN_SNAPSHOT,Tada,,562856,4,0,0
40,2.9,TURN_SNAPSHOT,Date,,78800,3,0,0
40,2.9,TURN_SNAPSHOT,Nori,,0,0,0,0
40,2.9,TURN_SNAPSHOT,Abe,,94587,3,0,0
41,0.2,TURN_SNAPSHOT,Tada,,595406,4,0,0
41,0.2,TURN_SNAPSHOT,Date,,78800,3,0,0
41,0.2,TURN_SNAPSHOT,Nori,,0,0,0,0
41,0.2,TURN_SNAPSHOT,Abe,,94587,3,0,0
42,0.1,TURN_SNAPSHOT,Tada,,627956,4,0,0
42,0.1,TURN_SNAPSHOT,Date,,78800,3,0,0
42,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
42,0.1,TURN_SNAPSHOT,Abe,,94587,3,0,0
43,3.5,TURN_SNAPSHOT,Tada,,660506,4,0,0
43,3.5,TURN_SNAPSHOT,Date,,78800,3,0,0
43,3.5,TURN_SNAPSHOT,Nori,,0,0,0,0
43,3.5,TURN_SNAPSHOT,Abe,,94587,3,0,0
44,0.1,RECRUIT,Date,Dewa,160,3,0,0
44,0.1,RECRUIT,Date,Dewa,160,3,0,0
44,0.1,RECRUIT,Date,Dewa,160,3,0,0
44,0.1,RECRUIT,Date,Sendai,160,3,0,0
44,0.1,RECRUIT,Date,Sendai,160,3,0,0
44,0.1,RECRUIT,Date,Sendai,160,3,0,0
44,0.1,TURN_SNAPSHOT,Tada,,693056,4,0,0
44,0.1,TURN_SNAPSHOT,Date,,126800,3,0,0
44,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
44,0.1,TURN_SNAPSHOT,Abe,,94587,3,0,0
45,2.9,TURN_SNAPSHOT,Tada,,709331,4,0,0
45,2.9,TURN_SNAPSHOT,Date,,126800,3,0,0
45,2.9,TURN_SNAPSHOT,Nori,,0,0,0,0
45,2.9,TURN_SNAPSHOT,Abe,,94587,3,0,0
46,0.1,RECRUIT,Date,Dewa,160,3,0,0
46,0.1,RECRUIT,Date,Dewa,160,3,0,0
46,0.1,RECRUIT,Date,Dewa,160,3,0,0
46,0.1,RECRUIT,Date,Sendai,160,3,0,0
46,0.1,RECRUIT,Date,Sendai,160,3,0,0
46,0.1,RECRUIT,Date,Sendai,160,3,0,0
46,0.1,TURN_SNAPSHOT,Tada,,733743,4,0,0
46,0.1,TURN_SNAPSHOT,Date,,174800,3,0,0
46,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
46,0.1,TURN_SNAPSHOT,Abe,,94587,3,0,0
47,3.1,TURN_SNAPSHOT,Tada,,758156,4,0,0
47,3.1,TURN_SNAPSHOT,Date,,174800,3,0,0
47,3.1,TURN_SNAPSHOT,Nori,,0,0,0,0
47,3.1,TURN_SNAPSHOT,Abe,,94587,3,0,0
48,0.1,RECRUIT,Date,Dewa,160,3,0,0
48,0.1,RECRUIT,Date,Dewa,160,3,0,0
48,0.1,RECRUIT,Date,Dewa,160,3,0,0
48,0.1,RECRUIT,Date,Sendai,160,3,0,0
48,0.1,RECRUIT,Date,Sendai,160,3,0,0
48,0.1,RECRUIT,Date,Sendai,160,3,0,0
48,0.1,TURN_SNAPSHOT,Tada,,766293,4,0,0
48,0.1,TURN_SNAPSHOT,Date,,222800,3,0,0
48,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
48,0.1,TURN_SNAPSHOT,Abe,,94587,3,0,0
49,2.8,TURN_SNAPSHOT,Tada,,790706,4,0,0
49,2.8,TURN_SNAPSHOT,Date,,222800,3,0,0
49,2.8,TURN_SNAPSHOT,Nori,,0,0,0,0
49,2.8,TURN_SNAPSHOT,Abe,,94587,3,0,0
50,1.0,TURN_SNAPSHOT,Tada,,790706,4,0,0
50,1.0,TURN_SNAPSHOT,Date,,222800,3,0,0
50,1.0,TURN_SNAPSHOT,Nori,,0,0,0,0
50,1.0,TURN_SNAPSHOT,Abe,,94587,3,0,0
51,1.0,TURN_SNAPSHOT,Tada,,790706,4,0,0
51,1.0,TURN_SNAPSHOT,Date,,222800,4,0,0
51,1.0,TURN_SNAPSHOT,Nori,,0,0,0,0
51,1.0,TURN_SNAPSHOT,Abe,,94587,3,0,0
52,1.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
52,1.1,TURN_SNAPSHOT,Date,,222800,4,0,0
52,1.1,TURN_SNAPSHOT,Nori,,0,0,0,0
52,1.1,TURN_SNAPSHOT,Abe,,94587,3,0,0
53,2.4,TURN_SNAPSHOT,Tada,,790706,4,0,0
53,2.4,TURN_SNAPSHOT,Date,,222800,4,0,0
53,2.4,TURN_SNAPSHOT,Nori,,0,0,0,0
53,2.4,TURN_SNAPSHOT,Abe,,94587,3,0,0
54,0.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
54,0.1,TURN_SNAPSHOT,Date,,222800,4,0,0
54,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
54,0.1,TURN_SNAPSHOT,Abe,,94587,3,0,0
55,0.3,TURN_SNAPSHOT,Tada,,790706,4,0,0
55,0.3,TURN_SNAPSHOT,Date,,222800,4,0,0
55,0.3,TURN_SNAPSHOT,Nori,,0,0,0,0
55,0.3,TURN_SNAPSHOT,Abe,,94587,3,0,0
56,1.9,TURN_SNAPSHOT,Tada,,790706,4,0,0
56,1.9,TURN_SNAPSHOT,Date,,222800,4,0,0
56,1.9,TURN_SNAPSHOT,Nori,,0,0,0,0
56,1.9,TURN_SNAPSHOT,Abe,,94587,3,0,0
57,0.2,TURN_SNAPSHOT,Tada,,790706,4,0,0
57,0.2,TURN_SNAPSHOT,Date,,222800,4,0,0
57,0.2,TURN_SNAPSHOT,Nori,,0,0,0,0
57,0.2,TURN_SNAPSHOT,Abe,,94587,3,0,0
58,0.3,TURN_SNAPSHOT,Tada,,790706,4,0,0
58,0.3,TURN_SNAPSHOT,Date,,222800,4,0,0
58,0.3,TURN_SNAPSHOT,Nori,,0,0,0,0
58,0.3,TURN_SNAPSHOT,Abe,,94587,3,0,0
59,9.8,TURN_SNAPSHOT,Tada,,790706,4,0,0
59,9.8,TURN_SNAPSHOT,Date,,222800,4,0,0
59,9.8,TURN_SNAPSHOT,Nori,,0,0,0,0
59,9.8,TURN_SNAPSHOT,Abe,,94587,3,0,0
60,2.5,TURN_SNAPSHOT,Tada,,790706,4,0,0
60,2.5,TURN_SNAPSHOT,Date,,222800,4,0,0
60,2.5,TURN_SNAPSHOT,Nori,,0,0,0,0
60,2.5,TURN_SNAPSHOT,Abe,,94587,3,0,0
61,2.0,TURN_SNAPSHOT,Tada,,790706,4,0,0
61,2.0,TURN_SNAPSHOT,Date,,222800,4,0,0
61,2.0,TURN_SNAPSHOT,Nori,,0,0,0,0
61,2.0,TURN_SNAPSHOT,Abe,,94587,3,0,0
62,3.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
62,3.1,TURN_SNAPSHOT,Date,,222800,4,0,0
62,3.1,TURN_SNAPSHOT,Nori,,0,0,0,0
62,3.1,TURN_SNAPSHOT,Abe,,94587,3,0,0
63,1.2,TURN_SNAPSHOT,Tada,,790706,4,0,0
63,1.2,TURN_SNAPSHOT,Date,,222800,4,0,0
63,1.2,TURN_SNAPSHOT,Nori,,0,0,0,0
63,1.2,TURN_SNAPSHOT,Abe,,94587,3,0,0
64,1.2,TURN_SNAPSHOT,Tada,,790706,4,0,0
64,1.2,TURN_SNAPSHOT,Date,,222800,4,0,0
64,1.2,TURN_SNAPSHOT,Nori,,0,0,0,0
64,1.2,TURN_SNAPSHOT,Abe,,94587,3,0,0
65,1.2,BATTLE_WIN,Date,Kanto,32711,5,116100,752
65,1.2,TURN_SNAPSHOT,Tada,,790706,4,0,0
65,1.2,TURN_SNAPSHOT,Date,,190260,5,0,0
65,1.2,TURN_SNAPSHOT,Nori,,0,0,0,0
65,1.2,TURN_SNAPSHOT,Abe,,61876,3,0,0
66,3.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
66,3.1,TURN_SNAPSHOT,Date,,190260,5,0,0
66,3.1,TURN_SNAPSHOT,Nori,,0,0,0,0
66,3.1,TURN_SNAPSHOT,Abe,,61876,3,0,0
67,0.2,TURN_SNAPSHOT,Tada,,790706,4,0,0
67,0.2,TURN_SNAPSHOT,Date,,190260,5,0,0
67,0.2,TURN_SNAPSHOT,Nori,,0,0,0,0
67,0.2,TURN_SNAPSHOT,Abe,,61876,3,0,0
68,0.2,TURN_SNAPSHOT,Tada,,790706,4,0,0
68,0.2,TURN_SNAPSHOT,Date,,190260,5,0,0
68,0.2,TURN_SNAPSHOT,Nori,,0,0,0,0
68,0.2,TURN_SNAPSHOT,Abe,,61876,3,0,0
69,1.2,TURN_SNAPSHOT,Tada,,790706,4,0,0
69,1.2,TURN_SNAPSHOT,Date,,190260,5,0,0
69,1.2,TURN_SNAPSHOT,Nori,,0,0,0,0
69,1.2,TURN_SNAPSHOT,Abe,,61876,3,0,0
70,0.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
70,0.1,TURN_SNAPSHOT,Date,,190260,5,0,0
70,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
70,0.1,TURN_SNAPSHOT,Abe,,61876,3,0,0
71,0.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
71,0.1,TURN_SNAPSHOT,Date,,190260,5,0,0
71,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
71,0.1,TURN_SNAPSHOT,Abe,,61876,3,0,0
72,1.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
72,1.2,TURN_SNAPSHOT,Date,,190260,5,0,0
72,1.2,TURN_SNAPSHOT,Nori,,0,0,0,0
72,1.2,TURN_SNAPSHOT,Abe,,61876,3,0,0
73,0.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
73,0.1,TURN_SNAPSHOT,Date,,190260,5,0,0
73,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
73,0.1,TURN_SNAPSHOT,Abe,,61876,3,0,0
74,0.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
74,0.1,TURN_SNAPSHOT,Date,,190260,5,0,0
74,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
74,0.1,TURN_SNAPSHOT,Abe,,61876,3,0,0
75,2.6,TURN_SNAPSHOT,Tada,,790706,4,0,0
75,2.6,TURN_SNAPSHOT,Date,,190260,5,0,0
75,2.6,TURN_SNAPSHOT,Nori,,0,0,0,0
75,2.6,TURN_SNAPSHOT,Abe,,68076,3,0,0
76,0.1,RECRUIT,Date,Kanto,140,5,0,0
76,0.1,RECRUIT,Date,Kanto,140,5,0,0
76,0.1,RECRUIT,Date,Kanto,140,5,0,0
76,0.1,RECRUIT,Date,Shimosa,110,5,0,0
76,0.1,RECRUIT,Date,Shimosa,110,5,0,0
76,0.1,RECRUIT,Date,Shimosa,110,5,0,0
76,0.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
76,0.1,TURN_SNAPSHOT,Date,,216960,5,0,0
76,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
76,0.1,TURN_SNAPSHOT,Abe,,74276,3,0,0
77,1.8,TURN_SNAPSHOT,Tada,,790706,4,0,0
77,1.8,TURN_SNAPSHOT,Date,,216960,5,0,0
77,1.8,TURN_SNAPSHOT,Nori,,0,0,0,0
77,1.8,TURN_SNAPSHOT,Abe,,86676,3,0,0
78,1.9,TURN_SNAPSHOT,Tada,,790706,4,0,0
78,1.9,TURN_SNAPSHOT,Date,,216960,5,0,0
78,1.9,TURN_SNAPSHOT,Nori,,0,0,0,0
78,1.9,TURN_SNAPSHOT,Abe,,99076,3,0,0
79,0.2,TURN_SNAPSHOT,Tada,,790706,4,0,0
79,0.2,TURN_SNAPSHOT,Date,,216960,5,0,0
79,0.2,TURN_SNAPSHOT,Nori,,0,0,0,0
79,0.2,TURN_SNAPSHOT,Abe,,111476,3,0,0
80,0.3,TURN_SNAPSHOT,Tada,,790706,4,0,0
80,0.3,TURN_SNAPSHOT,Date,,216960,5,0,0
80,0.3,TURN_SNAPSHOT,Nori,,0,0,0,0
80,0.3,TURN_SNAPSHOT,Abe,,123876,3,0,0
81,4.4,TURN_SNAPSHOT,Tada,,790706,4,0,0
81,4.4,TURN_SNAPSHOT,Date,,216960,5,0,0
81,4.4,TURN_SNAPSHOT,Nori,,0,0,0,0
81,4.4,TURN_SNAPSHOT,Abe,,136276,3,0,0
82,0.1,RECRUIT,Date,Kanto,140,5,0,0
82,0.1,RECRUIT,Date,Kanto,140,5,0,0
82,0.1,RECRUIT,Date,Kanto,140,5,0,0
82,0.1,RECRUIT,Date,Shimosa,140,5,0,0
82,0.1,RECRUIT,Date,Shimosa,140,5,0,0
82,0.1,RECRUIT,Date,Shimosa,140,5,0,0
82,0.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
82,0.1,TURN_SNAPSHOT,Date,,250560,5,0,0
82,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
82,0.1,TURN_SNAPSHOT,Abe,,148676,3,0,0
83,2.9,BATTLE_WIN,Date,Kanto,105400,5,117160,2481
83,8.5,BATTLE_WIN,Date,Kanto,6200,5,11890,144
83,8.5,TURN_SNAPSHOT,Tada,,790706,4,0,0
83,8.5,TURN_SNAPSHOT,Date,,139130,5,0,0
83,8.5,TURN_SNAPSHOT,Nori,,0,0,0,0
83,8.5,TURN_SNAPSHOT,Abe,,55676,3,0,0
84,1.1,RECRUIT,Date,Kanto,140,6,0,0
84,1.1,RECRUIT,Date,Kanto,140,6,0,0
84,1.1,RECRUIT,Date,Kanto,140,6,0,0
84,1.1,BATTLE_WIN,Date,Suruga,55676,6,133400,1293
84,1.1,BATTLE_WIN,Date,Kanto,6200,6,22530,152
84,1.1,TURN_SNAPSHOT,Tada,,790706,4,0,0
84,1.1,TURN_SNAPSHOT,Date,,94120,6,0,0
84,1.1,TURN_SNAPSHOT,Nori,,0,0,0,0
84,1.1,TURN_SNAPSHOT,Abe,,12400,3,0,0
85,2.6,BATTLE_WIN,Date,Kanto,6200,6,16490,150
85,2.6,TURN_SNAPSHOT,Tada,,790706,4,0,0
85,2.6,TURN_SNAPSHOT,Date,,88020,6,0,0
85,2.6,TURN_SNAPSHOT,Nori,,0,0,0,0
85,2.6,TURN_SNAPSHOT,Abe,,24676,4,0,0
86,0.1,BATTLE_WIN,Date,Kanto,6200,6,10390,149
86,0.1,TURN_SNAPSHOT,Tada,,782516,4,0,0
86,0.1,TURN_SNAPSHOT,Date,,81800,6,0,0
86,0.1,TURN_SNAPSHOT,Nori,,0,0,0,0
86,0.1,TURN_SNAPSHOT,Abe,,31000,4,0,0
87,0.3,BATTLE_LOSS,Date,Kanto,6200,6,4170,151
87,0.3,TURN_SNAPSHOT,Tada,,782516,4,0,0
87,0.3,TURN_SNAPSHOT,Date,,77630,6,0,0
87,0.3,TURN_SNAPSHOT,Nori,,0,0,0,0
87,0.3,TURN_SNAPSHOT,Abe,,45446,4,0,0
88,2.7,BATTLE_WIN,Date,Suruga,18600,6,77630,432
88,2.7,TURN_SNAPSHOT,Tada,,782516,4,0,0
88,2.7,TURN_SNAPSHOT,Date,,58970,6,0,0
88,2.7,TURN_SNAPSHOT,Nori,,0,0,0,0
88,2.7,TURN_SNAPSHOT,Abe,,45446,4,0,0
89,3.7,BATTLE_WIN,Date,Suruga,37200,6,58970,867
89,5.7,RECRUIT,Date,Kanto,140,6,0,0
89,5.7,RECRUIT,Date,Kanto,140,6,0,0
89,5.7,RECRUIT,Date,Kanto,140,6,0,0
89,5.7,BATTLE_WIN,Date,Kanto,14446,6,16800,361
89,5.7,BATTLE_WIN,Date,Suruga,6200,6,21680,145
89,5.7,TURN_SNAPSHOT,Tada,,782516,4,0,0
89,5.7,TURN_SNAPSHOT,Date,,17930,6,0,0
89,5.7,TURN_SNAPSHOT,Nori,,0,0,0,0
89,5.7,TURN_SNAPSHOT,Abe,,6200,4,0,0
90,1.7,RECRUIT,Date,Suruga,90,6,0,0
90,1.7,RECRUIT,Date,Suruga,90,6,0,0
90,1.7,RECRUIT,Date,Suruga,90,6,0,0
90,1.7,BATTLE_LOSS,Date,Kanto,6200,6,2360,155
90,1.7,BATTLE_WIN,Date,Suruga,6200,6,20970,187
90,1.7,TURN_SNAPSHOT,Tada,,782516,4,0,0
90,1.7,TURN_SNAPSHOT,Date,,14940,6,0,0
90,1.7,TURN_SNAPSHOT,Nori,,0,0,0,0
90,1.7,TURN_SNAPSHOT,Abe,,16244,4,0,0
91,6.7,RECRUIT,Date,Kanto,140,6,0,0
91,6.7,RECRUIT,Date,Kanto,140,6,0,0
91,6.7,RECRUIT,Date,Kanto,140,6,0,0
91,6.7,BATTLE_WIN,Date,Kanto,10044,6,16800,251
91,6.7,BATTLE_WIN,Date,Suruga,6200,6,14940,185
